,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000001.SZ,20200228,14.85,15.04,14.46,14.5,15.11,-0.61,-4.0371,1300644.45,1906892.413
1,000001.SZ,20200227,14.96,15.15,14.89,15.11,14.99,0.12,0.8005,975270.9,1464605.739
2,000001.SZ,20200226,14.77,15.27,14.7,14.99,15.04,-0.05,-0.3324,1176599.15,1769612.245
3,000001.SZ,20200225,15.0,15.13,14.78,15.04,15.23,-0.19,-1.2475,1144575.02,1710369.786
4,000001.SZ,20200224,15.46,15.46,15.15,15.23,15.58,-0.35,-2.2465,1191794.5,1820183.854
5,000001.SZ,20200221,15.49,15.72,15.45,15.58,15.59,-0.01,-0.0641,995071.02,1546692.93
6,000001.SZ,20200220,15.27,15.62,15.1,15.59,15.24,0.35,2.2966,1235444.34,1897923.029
